Year,Chihuahua,Baja California,Coahuila de Zaragoza,Nuevo León,Tamaulipas,Campeche,Jalisco,Guanajuato,Sonora,México,Puebla,San Luis Potosí,Tabasco,Querétaro,Aguascalientes,Veracruz de Ignacio de la Llave,Morelos,Zacatecas,Ciudad de México,Michoacán de Ocampo,Durango,Hidalgo,Sinaloa,Tlaxcala,Yucatán,Chiapas,Oaxaca,Guerrero,Colima,Baja California Sur,Nayarit,Quintana Roo,Federal
2009,24772115,26741828,13904921,17327009,18320316,17593024,15059587,5684014,9380256,7648352,6675263,3559105,6968591,3471124,3951109,4106797,1562214,1634147,2378039,805947,829445,1269506,208157,645311,1033444,855360,1044383,464864,81343,165276,57563,35712,198234122
2007,28094744,31858674,17469635,19803477,22517431,29051551,14445972,6425250,12980385,8643136,7781315,4788268,8272595,3410507,4389841,4270074,2044923,2114571,2713216,357291,878704,1300636,324832,746245,1146548,908250,623321,142118,79553,148998,37114,40567,237809742
2010,34633882,28882194,21970635,21343765,21294755,23556375,18800996,8275950,13490937,10863013,8596411,4825610,10608705,4598763,5647927,5172167,2101613,2277321,2759615,1180681,1117272,1099190,265118,816037,1200008,1245155,830211,629384,107854,190834,63365,59003,258504746
2008,27704270,32988914,21757039,21765788,23850566,31837811,15360599,6419925,12035116,9909898,9205476,4528943,9990789,4067931,4456892,5432206,1950868,2420351,2870068,1099717,984903,2044631,380924,870813,1089136,894422,1448887,248330,86607,183755,39903,42303,257967781
2011,38446015,30151513,27238515,24589656,22084503,31335436,15333202,9701099,14095227,15920531,10692382,5755600,15545851,6088263,6051640,6745680,3141480,3223110,3068807,1142307,1402922,1539103,313567,937983,1326399,1665278,996977,680046,142734,174854,101538,100307,299732525
2012,41764862,31663050,31636120,25815501,22268195,29394572,19379719,10148715,14638941,17076559,12277945,7224415,14748678,7386393,6183782,6984282,4120011,3545855,2937465,1251984,1608285,1510001,449553,1016393,1328358,1618569,776493,728036,221098,169198,96988,44176,320014192
2013,43770979,32229570,33015110,25897183,22929249,27136525,20104514,12171000,17816567,18210482,11003342,7803665,13050544,8158718,6726208,7503947,4207055,3489502,2602629,1534102,1687174,1589975,520444,1238637,1217001,1613291,1117819,613328,280985,177216,109407,36533,329562701
2014,45594450,35002851,34838928,31513013,27397997,22327077,18737714,17204368,15611884,22472407,10594593,8476834,11295466,9147776,8466008,7242794,3791586,3086748,2705299,1099318,1861964,1721653,769709,1278535,1422476,1460627,1359228,493996,269702,182855,112607,19223,347559686
2016,43342069,35997278,37699564,32177307,24926224,9515108,17877863,22099835,17544421,17332225,9372971,9505025,5370754,10314837,7870963,4339857,3787521,2793508,2302852,979214,1654784,1677728,1283961,1310802,1262653,587503,627162,647788,272612,237514,166362,23156,324901421
2020,54920397,40659061,44961567,34511011,26736211,10274658,20093246,24048742,17735407,14009625,13514350,13664631,4117145,11738888,11449691,5352789,2644549,3657768,2128075,5532247,2684822,1318940,2905253,1448673,858470,729884,642307,964914,752101,265756,248396,20680,374590254
2015,40302946,38441997,36251769,34522156,26300102,11288367,19737684,20787832,16895882,21392725,10141643,9806397,6603629,10400467,8495444,5437057,3402758,3325166,2452303,822901,1752492,1726505,1245917,1307251,1470940,1165750,737200,334522,288409,199663,101254,31075,337170203
2017,46491548,36315716,38950677,36004725,25507318,12726093,18687649,23360291,17443597,18601994,15019151,13360589,6412527,10478613,7830018,5362862,3490781,3026697,2630543,1272574,1672356,1788933,960133,1379963,962965,606131,603681,236958,133681,249572,124554,33172,351726062
2018,52864190,39896456,41034810,39615280,27314740,18360739,21133620,25504680,19863200,20335098,16837910,15294351,7017663,11227332,9650720,6367194,3833336,3141633,2632148,4948554,2127000,2242355,2962631,1440917,1113910,871639,919019,706829,753023,343315,276598,79126,400710016
2019,57434137,42396948,47659461,39857052,29130160,16579076,21659641,25065797,19840531,20010000,17547976,15531674,5012814,12868798,11794073,6697246,3086702,2873522,2667127,5586478,2737230,2299344,2840002,1460866,1119624,820169,712574,966476,684839,291813,266760,80909,417579819
2021,58542743,48001191,53521726,41497315,32565309,15384613,23161220,26950862,20753424,17542825,14823781,13794439,7477362,14560322,11532365,6783260,3197060,4268238,2540376,7038922,3251535,1837919,2922018,1928656,1161870,980390,1060702,1157773,907312,342524,248694,33059,439769805
